dance_ID;colony_ID;"colony_location_
x_coordinate";"colony_location_
y_coordinate";observation_start_date;observation_start_daytime;dance_date;dance_daytime;"number_of_
circuits";dance_duration;"mean_
circuit_duration";flight_distance;dance_angle;solar_azimuth_angle;flight_angle;"offset_
metres_N";"offset_
metres_E";"offset_
degrees_N";"offset_
degrees_E";"nest_site_
coordinates_N";"nest_site_
coordinates_E"
468;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;10:15;9;28.60;3.18;746.93;199.50;112.00;311.50;494.90;-559.44;0.00446;-0.00802;51.07021;10.41497
469;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;10:17;9;18.60;2.07;222.68;188.80;112.50;301.30;115.70;-190.26;0.00104;-0.00273;51.06679;10.42026
471;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;10:22;9;20.00;2.22;286.14;282.40;113.79;36.19;230.94;168.95;0.00208;0.00242;51.06783;10.42541
472;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;10:26;9;16.80;1.87;144.76;201.20;114.84;316.04;104.19;-100.49;0.00094;-0.00144;51.06669;10.42155
476;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;10:30;8;16.30;2.04;211.07;259.10;115.90;15.00;203.87;54.62;0.00184;0.00078;51.06759;10.42377
477;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;10:33;9;22.70;2.52;416.49;223.90;116.71;340.61;392.85;-138.30;0.00354;-0.00198;51.06929;10.42101
480;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;10:41;6;28.20;4.70;2023.33;229.00;118.91;347.91;1978.45;-423.76;0.01782;-0.00607;51.08357;10.41692
481;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;10:42;5;22.30;4.46;1725.04;303.60;119.19;62.79;788.75;1534.16;0.00711;0.02199;51.07286;10.44498
489;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;10:50;9;21.20;2.36;342.71;127.70;121.48;249.18;-121.81;-320.33;-0.00110;-0.00459;51.06465;10.41840
490;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;10:50;8;20.80;2.60;452.17;256.10;121.48;17.58;431.05;136.57;0.00388;0.00196;51.06963;10.42495
498;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;11:01;8;18.20;2.28;308.28;210.60;124.76;335.36;280.21;-128.53;0.00252;-0.00184;51.06827;10.42115
499;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;11:01;9;19.00;2.11;240.54;272.80;124.76;37.56;190.68;146.63;0.00172;0.00210;51.06747;10.42509
502;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;11:11;6;15.60;2.60;452.17;196.30;127.89;324.19;366.67;-264.59;0.00330;-0.00379;51.06905;10.41920
503;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;11:11;10;17.00;1.70;82.72;179.00;127.89;306.89;49.65;-66.16;0.00045;-0.00095;51.06620;10.42204
506;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;11:21;7;19.30;2.76;526.89;191.30;131.16;322.46;417.77;-321.07;0.00376;-0.00460;51.06951;10.41839
507;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;11:21;5;21.20;4.24;1503.86;279.40;131.16;50.56;955.44;1161.35;0.00861;0.01665;51.07436;10.43964
2036;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;11:42;6;18.20;3.03;667.76;272.00;138.54;50.54;424.43;515.52;0.00382;0.00739;51.06957;10.43038
2037;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;11:42;7;21.40;3.06;680.53;205.20;138.54;343.74;653.30;-190.60;0.00589;-0.00273;51.07164;10.42026
2038;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;11:50;6;15.20;2.53;421.53;198.60;141.54;340.14;396.46;-143.22;0.00357;-0.00205;51.06932;10.42094
2039;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;11:49;3;8.10;2.70;499.30;204.80;141.16;345.96;484.38;-121.15;0.00436;-0.00174;51.07011;10.42125
2040;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;12:00;5;16.50;3.30;817.26;193.60;145.44;339.04;763.20;-292.29;0.00688;-0.00419;51.07263;10.41880
2041;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;12:00;6;15.60;2.60;452.17;202.00;145.44;347.44;441.35;-98.30;0.00398;-0.00141;51.06973;10.42158
2042;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;12:11;6;20.10;3.35;846.99;190.80;149.93;340.73;799.56;-279.46;0.00720;-0.00401;51.07295;10.41898
2043;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;12:13;6;16.80;2.80;547.92;267.20;150.77;57.97;290.58;464.53;0.00262;0.00666;51.06837;10.42965
2044;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;12:19;5;16.00;3.20;759.48;181.30;153.32;334.62;686.20;-325.47;0.00618;-0.00467;51.07193;10.41832
2045;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;12:19;4;23.00;5.75;3328.32;204.80;153.32;358.12;3326.54;-108.93;0.02997;-0.00156;51.09572;10.42143
2046;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;12:26;4;18.90;4.73;2054.40;197.00;156.37;353.37;2040.67;-237.12;0.01838;-0.00340;51.08413;10.41959
2047;H_NP_1;51.06575;10.42299;02.06.2020;08:41;02.06.2020;12:28;6;15.00;2.50;406.44;177.00;157.26;334.26;366.10;-176.54;0.00330;-0.00253;51.06905;10.42046
652;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;10:18;5;26.30;5.26;2719.33;262.30;111.30;13.60;2643.08;639.43;0.02381;0.00917;51.12520;10.47548
653;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;10:31;11;19.40;1.76;106.11;221.90;114.62;336.52;97.33;-42.28;0.00088;-0.00061;51.10227;10.46570
654;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;10:32;12;16.00;1.33;0.00;351.20;114.88;106.08;0.00;0.00;0.00000;0.00000;51.10139;10.46631
655;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;10:41;12;15.20;1.27;0.00;337.80;117.29;95.09;0.00;0.00;0.00000;0.00000;51.10139;10.46631
656;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;10:43;9;41.80;4.64;1954.28;261.00;117.84;18.84;1849.61;631.00;0.01666;0.00905;51.11805;10.47536
657;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;10:45;13;16.30;1.25;0.00;79.90;118.39;198.29;0.00;0.00;0.00000;0.00000;51.10139;10.46631
658;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;10:58;10;20.30;2.03;208.09;237.60;122.08;359.68;208.09;-1.15;0.00187;-0.00002;51.10326;10.46629
659;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;11:18;6;24.40;4.07;1351.95;234.10;128.19;2.29;1350.87;54.03;0.01217;0.00078;51.11356;10.46709
660;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;11:20;12;18.40;1.53;23.09;353.10;128.83;121.93;-12.21;19.60;-0.00011;0.00028;51.10128;10.46659
661;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;12:08;9;14.20;1.58;38.77;209.80;146.08;355.88;38.67;-2.79;0.00035;-0.00004;51.10174;10.46627
662;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;12:16;8;15.90;1.99;191.36;315.60;149.31;104.91;-49.25;184.91;-0.00044;0.00265;51.10095;10.46896
663;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;12:22;4;40.10;10.03;8641.53;186.60;151.81;338.41;8035.17;-3179.95;0.07239;-0.04562;51.17378;10.42069
664;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;12:30;4;41.10;10.28;8952.24;182.00;155.22;337.22;8254.05;-3466.01;0.07436;-0.04973;51.17575;10.41658
665;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;12:40;10;16.70;1.67;71.82;310.90;159.62;110.52;-25.17;67.26;-0.00023;0.00096;51.10116;10.46727
666;H_NP_11;51.10139;10.46631;10.07.2020;08:34;10.07.2020;12:45;4;50.10;12.53;11748.66;181.50;161.86;343.36;11256.87;-3363.60;0.10141;-0.04826;51.20280;10.41805
